Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
254,2095.73,250,14,Friday,1,0,0,0,0,0,0
254,1353.64,194,14,Monday,0,1,0,0,0,0,0
254,1248.66,169,14,Saturday,0,0,1,0,0,0,0
254,1032.57,133,14,Sunday,0,0,0,1,0,0,0
254,1793.25,243,14,Thursday,0,0,0,0,1,0,0
254,1939.48,227,14,Tuesday,0,0,0,0,0,1,0
254,2174.3,260,14,Wednesday,0,0,0,0,0,0,1
254,2053.56,257,15,Friday,1,0,0,0,0,0,0
254,1565.84,222,15,Monday,0,1,0,0,0,0,0
254,1258.45,171,15,Saturday,0,0,1,0,0,0,0
254,1047.63,129,15,Sunday,0,0,0,1,0,0,0
254,1853.71,250,15,Thursday,0,0,0,0,1,0,0
254,1722.76,240,15,Tuesday,0,0,0,0,0,1,0
254,1810.2,247,15,Wednesday,0,0,0,0,0,0,1
254,2243.38,264,16,Friday,1,0,0,0,0,0,0
254,1342.37,198,16,Monday,0,1,0,0,0,0,0
254,1438.01,185,16,Saturday,0,0,1,0,0,0,0
254,1044.78,126,16,Sunday,0,0,0,1,0,0,0
254,1942.68,256,16,Thursday,0,0,0,0,1,0,0
254,1558.63,209,16,Tuesday,0,0,0,0,0,1,0
254,1796.77,241,16,Wednesday,0,0,0,0,0,0,1
254,1975.88,239,17,Friday,1,0,0,0,0,0,0
254,1573.25,212,17,Monday,0,1,0,0,0,0,0
254,1692.36,185,17,Saturday,0,0,1,0,0,0,0
254,1137.82,133,17,Sunday,0,0,0,1,0,0,0
254,1428.29,200,17,Thursday,0,0,0,0,1,0,0
254,1657.96,220,17,Tuesday,0,0,0,0,0,1,0
254,1589.69,220,17,Wednesday,0,0,0,0,0,0,1
254,2027.66,252,18,Friday,1,0,0,0,0,0,0
254,1784.07,231,18,Monday,0,1,0,0,0,0,0
254,1706.79,212,18,Saturday,0,0,1,0,0,0,0
254,1382.3,158,18,Sunday,0,0,0,1,0,0,0
254,1131.34,130,18,Thursday,0,0,0,0,1,0,0
254,2032.12,254,18,Tuesday,0,0,0,0,0,1,0
254,2688.17,374,18,Wednesday,0,0,0,0,0,0,1
